"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"72635","3 Private Bedrooms, SW Austin","377044","Jason  and  Marcie",,"78739","30.202823795785","-97.8843089556508","Private room","300","2","1","2011-03-21","0.02","1","240"
"5386323","Cricket Trailer","27922117","Michael",,"78739","30.1994140560409","-97.9006835685177","Private room","99","3","0",,,"1","364"
"8826517","Private room 1 in South Austin","46230038","Ric",,"78739","30.1684963431326","-97.864482965722","Private room","100","1","0",,,"2","365"
"8828616","Private room 2 in South Austin","46230038","Ric",,"78739","30.1686212896301","-97.8648741913196","Private room","100","1","0",,,"2","365"
"8536913","Brand-New 3BR Austin Home","31148752","Bo",,"78739","30.1694255654746","-97.8883186417239","Entire home/apt","599","2","0",,,"2","358"
"8542056","Private room  and  Bathroom.","44939694",,,"78739","30.1867636756574","-97.9074429978643","Private room","100","1","0",,,"1","365"
"6385948","S. Austin, convenient to MoPac","33287946","Jennie",,"78739","30.1876952668477","-97.9202171555119","Private room","54","1","0",,,"1","301"
"8486890","Cozy private room 15 mins frm dtwn","11448084","Prerna",,"78739","30.1831834090113","-97.8909866401905","Private room","40","1","2","2015-11-01","2","1","312"
"8633580","Room to rent","45398195","Aurore Et Jeremy",,"78739","30.189291843216","-97.8693728157701","Private room","130","1","0",,,"1","355"
"5293632","Southwest Austin Retreat","1988520",,,"78739","30.1704237082231","-97.8699974399975","Private room","44","1","20","2015-10-13","2.52","1","364"
"7659967","Bright Comfy Room in Spacious Home","39813308",,,"78739","30.1951450316947","-97.8732540400925","Private room","99","2","0",,,"1","364"
"4045302","Studio apartment w/ Pvt bath, Pool","1456033","Neha",,"78739","30.1519682293379","-97.8573696724902","Private room","50","3","9","2015-10-28","0.69","1","84"
"2989616","South Austin Private room2","7567467","Chalu",,"78739","30.1886448273046","-97.8893217007895","Private room","49","2","4","2015-10-12","1.41","5","360"
"2853144","South Austin Private room","7567467",,,"78739","30.1891628490765","-97.8878622248572","Private room","50","3","7","2015-07-27","0.39","5","364"
"330710","Austin Zen Stay / Longhorn Room 10","1427814","Andrea",,"78754","30.3286188228852","-97.6766548649262","Private room","55","1","14","2015-10-13","0.32","10","365"
"5370554","Cozy apartment in N. Austin","27839802","Sarah",,"78754","30.3796842590924","-97.6520526100848","Entire home/apt","180","1","0",,,"1","238"
"6629676","Nice and quiet private guest room","34704670","Victor",,"78754","30.3767290748062","-97.6573084643585","Private room","36","1","6","2015-10-11","1.17","2","356"
"8689127","Near downtown on greenbelt!","32007715","Chris",,"78754","30.3668555250232","-97.6531926244074","Private room","125","1","0",,,"2","365"
"7988725","Lovely apartment in gated community","42163493",,,"78754","30.381176471295","-97.6507569883231","Entire home/apt","59","2","0",,,"1","69"
"5260962","Master Bed in French Country Home!","13935640","K",,"78754","30.3350787687905","-97.6478840350687","Private room","49","1","4","2015-07-06","0.51","2","254"
"6628321","Williamson House","33242818","Catie",,"78754","30.3729504417794","-97.6584697844007","Private room","40","1","0",,,"1","132"
"7451505","Private room on Walnut Creek","7960961","Grant",,"78754","30.3709279455282","-97.6630106302019","Private room","150","1","0",,,"1","365"
"1704476","Huge rental 10 min to everything!","5685651","Douglas",,"78754","30.3762717413604","-97.6542327070131","Private room","175","1","0",,,"1","365"
"2432311","Large Private Bed/Bathroom in Home","12432655","Nicole",,"78754","30.3573205981083","-97.6419887223382","Private room","50","1","76","2015-11-02","3.74","1","153"
"9298752","Comfortable relaxing house","48273901","Christine",,"78754","30.3743816183087","-97.6539770831052","Entire home/apt","120","1","0",,,"1","360"
"7725153","3 bedroom home 15 minutes from DT","40591749","Kevin",,"78754","30.3349294882643","-97.6461987364645","Entire home/apt","450","1","0",,,"1","68"
"3928248","Private Bed in Cozy French House!","13935640","K",,"78754","30.3345521594294","-97.6501269725515","Private room","49","1","14","2015-10-14","0.97","2","354"
"6749902","Cozy and private guest room","34704670","Victor",,"78754","30.3768892885911","-97.6569796125703","Private room","36","1","8","2015-10-31","1.86","2","364"
"6169536","Near downtown Austin on greenbelt!","32007715","Chris",,"78754","30.3683270850745","-97.6531617287058","Private room","75","1","1","2015-10-17","1","2","365"
"5839837","Room in a House in Northeast Austin","11277513",,,"78754","30.3638216315458","-97.6180279594552","Private room","50","1","1","2015-10-13","1","1","353"
"5625550","Master Suite in Nice Austin Home","28705030",,,"78754","30.3751055377861","-97.6484910344798","Private room","70","1","0",,,"1","365"
"6691572","Private Room in Large Home","33918864","Tracy",,"78754","30.3451045612149","-97.6136226010006","Private room","36","1","0",,,"1","358"
"5682731","HUGE ROOM W/ BATH -- CLS TO DWNTOWN","29281190","Lucy",,"78754","30.4023826538058","-97.644950647242","Private room","110","1","0",,,"1","365"
"6616920","Just an extra room in a house","34631231","Todd",,"78754","30.3687811952005","-97.6649992278321","Private room","200","1","0",,,"1","134"
"6194285","Private spacious two-story home","22586923",,,"78754","30.3732729836771","-97.6513822180052","Private room","34","1","16","2015-10-24","2.55","1","342"
"8098091","Beautiful Upscale Townhome/Apt","42762241","Abraham",,"78732","30.3807285513363","-97.8762431890531","Private room","59","1","2","2015-10-27","1.43","1","365"
"1865762","Private home in Steiner Ranch","9728400","Justin",,"78732","30.3473560122861","-97.9125873799994","Private room","155","1","0",,,"1","365"
"8466296","Lake Travis Wraparound Deck House","31148752","Bo",,"78732","30.3919364192662","-97.8825047150384","Entire home/apt","700","2","1","2015-10-12","1","2","340"
"8537281","Hillside Villa on Lake Travis","31148752","Bo",,"78732","30.3917213749979","-97.8944019704947","Entire home/apt","819","2","0",,,"2","351"
"4267135","3BR/2BA Luxury Lakeside Estate","4641823","Erica",,"78732","30.3959744589711","-97.8841398255297","Entire home/apt","1200","2","2","2015-04-27","0.25","7","0"
"753947","Lake Austin Waterfront Estate","3966350","Stephen",,"78732","30.3837991365012","-97.9132091672736","Entire home/apt","1250","3","6","2015-08-24","0.41","1","365"
"8029167","Romantic Castle Apt.- Lake Travis","42393385","Elise",,"78732","30.4073244711394","-97.8752010838258","Private room","250","2","1","2015-09-10","0.51","1","358"
"3802766","2 Bedroom, 1 Full bath, Kitchenette","19538456","Charles",,"78732","30.3931228763538","-97.8830909486227","Private room","300","1","0",,,"1","365"
"6625221","Austin stone home with pool!","34676081","Shannon",,"78732","30.3739432392939","-97.8837106914004","Entire home/apt","800","1","0",,,"1","134"
"5606440","LAKEFRONT W DOCK CLOSE TO THE OASIS","1651456","Lydia",,"78732","30.3939228706845","-97.8907732487837","Private room","85","2","9","2015-11-01","1.18","2","341"
"4394031","4 Bedroom Casita on UT Golf Course","22810123","Jeanie",,"78732","30.3571507658613","-97.891320938916","Entire home/apt","600","2","0",,,"1","356"
"6066627","Beautiful home in Steiner Ranch","18845205","Brendan",,"78732","30.3723363519182","-97.8982179431851","Entire home/apt","200","1","1","2015-08-09","0.33","1","349"
"8205083","Queen bed in fully furnished house","15303928","Chain",,"78732","30.3827852108153","-97.8766447884926","Private room","1000","1","0",,,"1","39"
